date,listeners,streams,followers
2021-01-01,933,1317,0
2021-01-02,899,1322,0
2021-01-03,815,1437,0
2021-01-04,841,1336,0
2021-01-05,829,1334,0
2021-01-06,731,1162,0
2021-01-07,865,1487,0
2021-01-08,935,1547,0
2021-01-09,877,1337,0
2021-01-10,748,1158,0
2021-01-11,839,1200,0
2021-01-12,874,1373,0
2021-01-13,943,1400,0
2021-01-14,935,1420,0
2021-01-15,947,1543,0
2021-01-16,778,1317,0
2021-01-17,598,999,0
2021-01-18,674,1159,0
2021-01-19,763,1367,0
2021-01-20,742,1182,0
2021-01-21,796,1323,0
2021-01-22,829,1309,0
2021-01-23,821,1398,0
2021-01-24,700,1294,0
2021-01-25,906,1452,0
2021-01-26,839,1454,0
2021-01-27,875,1483,0
2021-01-28,845,1471,0
2021-01-29,877,1509,0
2021-01-30,838,1333,0
2021-01-31,753,1269,0
2021-02-01,823,1369,0
2021-02-02,846,1435,0
2021-02-03,790,1247,0
2021-02-04,800,1309,0
2021-02-05,826,1313,0
2021-02-06,817,1361,0
2021-02-07,675,1075,0
2021-02-08,776,1278,0
2021-02-09,812,1458,0
2021-02-10,798,1490,0
2021-02-11,886,1557,0
2021-02-12,780,1381,0
2021-02-13,836,1315,0
2021-02-14,696,1185,0
2021-02-15,753,1354,0
2021-02-16,759,1273,0
2021-02-17,772,1360,0
2021-02-18,819,1406,0
2021-02-19,785,1287,0
2021-02-20,823,1394,0
2021-02-21,742,1185,0
2021-02-22,754,1238,0
2021-02-23,814,1340,0
2021-02-24,827,1468,0
2021-02-25,850,1435,0
2021-02-26,901,1448,0
2021-02-27,871,1466,0
2021-02-28,726,1184,0
2021-03-01,777,1335,0
2021-03-02,757,1401,0
2021-03-03,810,1459,0
2021-03-04,771,1393,0
2021-03-05,821,1337,0
2021-03-06,781,1274,0
2021-03-07,742,1197,0
2021-03-08,658,1099,0
2021-03-09,720,1219,0
2021-03-10,733,1285,0
2021-03-11,701,1094,0
2021-03-12,771,1237,0
2021-03-13,806,1370,0
2021-03-14,789,1298,0
2021-03-15,677,1275,0
2021-03-16,708,1179,0
2021-03-17,800,1222,0
2021-03-18,744,1195,0
2021-03-19,764,1378,0
2021-03-20,811,1327,0
2021-03-21,682,1151,0
2021-03-22,709,1156,0
2021-03-23,761,1201,0
2021-03-24,756,1314,0
2021-03-25,778,1280,0
