Date,Monthly Listeners,Change,Releases,Concerts,TV Appearances,Posts,Notes,"TV, Movie & Game Sync"
"Apr 10, 2019",4165,0,,,,,,
"Apr 11, 2019",4196,31,,,,,,
"Apr 12, 2019",4226,30,,,,,,
"Apr 13, 2019",4257,31,,,,,,
"Apr 14, 2019",4287,30,,,,,,
"Apr 15, 2019",4318,31,,,,,,
"Apr 16, 2019",4348,30,,,,,,
"Apr 17, 2019",4379,31,,,,,,
"Apr 18, 2019",4409,30,,,,,,
"Apr 19, 2019",4440,31,,,,,,
"Apr 20, 2019",4470,30,Dottore,,,,,
"Apr 21, 2019",4501,31,,,,,,
"Apr 22, 2019",4531,30,,,,,,
"Apr 23, 2019",4562,31,,,,,,
"Apr 24, 2019",4593,31,,,,,,
"Apr 25, 2019",4623,30,,,,,,
"Apr 26, 2019",4654,31,,,,,,
"Apr 27, 2019",4684,30,,,,,,
"Apr 28, 2019",4715,31,,,,,,
"Apr 29, 2019",4745,30,,,,,,
"Apr 30, 2019",4776,31,,,,,,
"May 1, 2019",4806,30,,,,,,
"May 2, 2019",4837,31,,,,,,
"May 3, 2019",4867,30,,,,,,
"May 4, 2019",4898,31,,,,,,
"May 5, 2019",4928,30,,,,,,
"May 6, 2019",4959,31,,,,,,
"May 7, 2019",4990,31,,,,,,
"May 8, 2019",5020,30,,,,,,
"May 9, 2019",5051,31,,,,,,
"May 10, 2019",5081,30,,,,,,
"May 11, 2019",5112,31,,,,,,
"May 12, 2019",5142,30,,,,,,
"May 13, 2019",5173,31,,,,,,
"May 14, 2019",5203,30,,,,,,
"May 15, 2019",5234,31,,,,,,
"May 16, 2019",5264,30,,,,,,
"May 17, 2019",5295,31,,,,,,
"May 18, 2019",5325,30,,,,,,
"May 19, 2019",5356,31,,,,,,
"May 20, 2019",5387,31,,,,,,
"May 21, 2019",5417,30,,,,,,
"May 22, 2019",5448,31,,,,,,
"May 23, 2019",5478,30,,,,,,
"May 24, 2019",5509,31,,,,,,
"May 25, 2019",5539,30,,,,,,
"May 26, 2019",5570,31,,,,,,
"May 27, 2019",5600,30,,,,,,
"May 28, 2019",5631,31,,,,,,
"May 29, 2019",5661,30,,,,,,
"May 30, 2019",5692,31,,,,,,
"May 31, 2019",5722,30,,,,,,
"Jun 1, 2019",5753,31,,,,,,
"Jun 2, 2019",5783,30,,,,,,
"Jun 3, 2019",5814,31,,,,,,
"Jun 4, 2019",5845,31,,,,,,
"Jun 5, 2019",5875,30,,,,,,
"Jun 6, 2019",5906,31,,,,,,
"Jun 7, 2019",5936,30,,,,,,
"Jun 8, 2019",5967,31,,,,,,
"Jun 9, 2019",5997,30,,,,,,
"Jun 10, 2019",6028,31,,,,,,
"Jun 11, 2019",6058,30,,,,,,
"Jun 12, 2019",6089,31,,,,,,
"Jun 13, 2019",6119,30,,,,,,
"Jun 14, 2019",6150,31,,,,,,
"Jun 15, 2019",6180,30,,,,,,
"Jun 16, 2019",6211,31,,,,,,
"Jun 17, 2019",6242,31,,,,,,
"Jun 18, 2019",6272,30,,,,,,
"Jun 19, 2019",6303,31,,,,,,
"Jun 20, 2019",6333,30,,,,,,
"Jun 21, 2019",6364,31,,,,,,
"Jun 22, 2019",6394,30,,,,,,
"Jun 23, 2019",6425,31,,,,,,
"Jun 24, 2019",6455,30,,,,,,
"Jun 25, 2019",6486,31,,,,,,
"Jun 26, 2019",6516,30,,,,,,
"Jun 27, 2019",6547,31,,,,,,
"Jun 28, 2019",6577,30,,,,,,
"Jun 29, 2019",6608,31,,,,,,
"Jun 30, 2019",6639,31,,,,,,
"Jul 1, 2019",6669,30,Sarai Mai,,,,,
"Jul 2, 2019",6700,31,,,,,,
"Jul 3, 2019",6730,30,,,,,,
"Jul 4, 2019",6761,31,,,,,,
"Jul 5, 2019",6791,30,,,,,,
"Jul 6, 2019",6822,31,,,,,,
"Jul 7, 2019",6852,30,,,,,,
"Jul 8, 2019",6883,31,,,,,,
"Jul 9, 2019",6913,30,,,,,,
"Jul 10, 2019",6944,31,,,,,,
"Jul 11, 2019",6974,30,,,,,,
"Jul 12, 2019",7005,31,,,,,,
"Jul 13, 2019",7036,31,,,,,,
"Jul 14, 2019",7066,30,,,,,,
"Jul 15, 2019",7097,31,,,,,,
"Jul 16, 2019",7127,30,,,,,,
"Jul 17, 2019",7158,31,,,,,,
"Jul 18, 2019",7188,30,,,,,,
"Jul 19, 2019",7219,31,,,,,,
"Jul 20, 2019",7249,30,,,,,,
"Jul 21, 2019",7280,31,,,,,,
"Jul 22, 2019",7310,30,,,,,,
"Jul 23, 2019",7341,31,,,,,,
"Jul 24, 2019",7371,30,,,,,,
"Jul 25, 2019",7402,31,,,,,,
"Jul 26, 2019",7433,31,,,,,,
"Jul 27, 2019",7463,30,,,,,,
"Jul 28, 2019",7494,31,,,,,,
"Jul 29, 2019",7524,30,,,,,,
"Jul 30, 2019",7555,31,,,,,,
"Jul 31, 2019",7585,30,,,,,,
"Aug 1, 2019",7616,31,,,,,,
"Aug 2, 2019",7646,30,,,,,,
"Aug 3, 2019",7677,31,,,,,,
"Aug 4, 2019",7707,30,,,,,,
"Aug 5, 2019",7738,31,,,,,,
"Aug 6, 2019",7768,30,,,,,,
"Aug 7, 2019",7799,31,,,,,,
"Aug 8, 2019",7830,31,,,,,,
"Aug 9, 2019",7860,30,,,,,,
"Aug 10, 2019",7891,31,,,,,,
"Aug 11, 2019",7921,30,,,,,,
"Aug 12, 2019",7952,31,,,,,,
"Aug 13, 2019",7982,30,,,,,,
"Aug 14, 2019",8013,31,,,,,,
"Aug 15, 2019",8043,30,,,,,,
"Aug 16, 2019",8074,31,,,,,,
"Aug 17, 2019",8104,30,,,,,,
"Aug 18, 2019",8135,31,,,,,,
"Aug 19, 2019",8165,30,,,,,,
"Aug 20, 2019",8196,31,,,,,,
"Aug 21, 2019",8226,30,,,,,,
"Aug 22, 2019",8257,31,,,,,,
"Aug 23, 2019",8288,31,,,,,,
"Aug 24, 2019",8318,30,,,,,,
"Aug 25, 2019",8349,31,,,,,,
"Aug 26, 2019",8379,30,,,,,,
