Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach,Events,Releases,Playlist Adds,Sync
"Jan 14, 2018",5,,,,,,,
"Jan 15, 2018",5,,,,,,,
"Jan 16, 2018",5,,,,,,,
"Jan 17, 2018",6,,,,,,,
"Jan 18, 2018",6,,,,,,,
"Jan 19, 2018",6,,,,,,,
"Jan 20, 2018",6,,,,,,,
"Jan 21, 2018",6,,,,,,,
"Jan 22, 2018",6,,,,,,,
"Jan 23, 2018",6,,,,,,,
"Jan 24, 2018",6,,,,,,,
"Jan 25, 2018",6,,,,,,,
"Jan 26, 2018",6,,,,,,,
"Jan 27, 2018",6,,,,,,,
"Jan 28, 2018",6,,,,,,,
"Jan 29, 2018",6,,,,,,,
"Jan 30, 2018",6,,,,,,,
"Jan 31, 2018",6,,,,,,,
"Feb 01, 2018",6,,,,,,,
"Feb 02, 2018",6,,,,,,,
"Feb 03, 2018",6,,,,,,,
"Feb 04, 2018",6,,,,,,,
"Feb 05, 2018",6,,,,,,,
"Feb 06, 2018",6,,,,,,,
"Feb 07, 2018",6,,,,,,,
"Feb 08, 2018",6,,,,,,,
"Feb 09, 2018",6,,,,,,,
"Feb 10, 2018",6,,,,,,,
"Feb 11, 2018",6,,,,,,,
"Feb 12, 2018",6,,,,,,,
"Feb 13, 2018",6,,,,,,,
"Feb 14, 2018",6,,,,,,,
"Feb 15, 2018",6,,,,,,,
"Feb 16, 2018",6,,,,,,,
"Feb 17, 2018",6,,,,,,,
"Feb 18, 2018",6,,,,,,,
"Feb 19, 2018",6,,,,,,,
"Feb 20, 2018",6,,,,,,,
"Feb 21, 2018",6,,,,,,,
"Feb 22, 2018",6,,,,,,,
"Feb 23, 2018",6,,,,,,,
"Feb 24, 2018",6,,,,,,,
"Feb 25, 2018",6,,,,,,,
"Feb 26, 2018",6,,,,,,,
"Feb 27, 2018",6,,,,,,,
"Feb 28, 2018",6,,,,,,,
"Mar 01, 2018",6,,,,,,,
"Mar 02, 2018",6,,,,,,,
"Mar 03, 2018",6,,,,,,,
"Mar 04, 2018",6,,,,,,,
"Mar 05, 2018",6,,,,,,,
"Mar 06, 2018",6,,,,,,,
"Mar 07, 2018",6,,,,,,,
"Mar 08, 2018",6,,,,,,,
"Mar 09, 2018",6,,,,,,,
"Mar 10, 2018",6,,,,,,,
"Mar 11, 2018",6,,,,,,,
"Mar 12, 2018",6,,,,,,,
"Mar 13, 2018",6,,,,,,,
"Mar 14, 2018",6,,,,,,,
"Mar 15, 2018",6,,,,,,,
"Mar 16, 2018",6,,,,,,,
"Mar 17, 2018",6,,,,,,,
"Mar 18, 2018",6,,,,,,,
"Mar 19, 2018",6,,,,,,,
"Mar 20, 2018",6,,,,,,,
"Mar 21, 2018",6,,,,,,,
"Mar 22, 2018",6,,,,,,,
"Mar 23, 2018",6,,,,,,,
"Mar 24, 2018",6,,,,,,,
"Mar 25, 2018",6,,,,,,,
"Mar 26, 2018",6,,,,,,,
"Mar 27, 2018",6,,,,,,,
"Mar 28, 2018",6,,,,,,,
"Mar 29, 2018",6,,,,,,,
"Mar 30, 2018",6,,,,,,,
"Mar 31, 2018",6,,,,,,,
"Apr 01, 2018",6,,,,,,,
"Apr 02, 2018",6,,,,,,,
"Apr 03, 2018",6,,,,,,,
"Apr 04, 2018",6,,,,,,,
"Apr 05, 2018",6,,,,,,,
"Apr 06, 2018",6,,,,,,,
"Apr 07, 2018",6,,,,,,,
"Apr 08, 2018",6,,,,,,,
"Apr 09, 2018",6,,,,,,,
"Apr 10, 2018",6,,,,,,,
"Apr 11, 2018",6,,,,,,,
"Apr 12, 2018",6,,,,,,,
"Apr 13, 2018",6,,,,,,,
"Apr 14, 2018",6,,,,,,,
"Apr 15, 2018",6,,,,,,,
"Apr 16, 2018",6,,,,,,,
"Apr 17, 2018",6,,,,,,,
"Apr 18, 2018",6,,,,,,,
"Apr 19, 2018",6,,,,,,,
"Apr 20, 2018",6,,,,,,,
"Apr 21, 2018",6,,,,,,,
"Apr 22, 2018",6,,,,,,,
"Apr 23, 2018",6,,,,,,,
"Apr 24, 2018",6,,,,,,,
"Apr 25, 2018",6,,,,,,,
"Apr 26, 2018",6,,,,,,,
"Apr 27, 2018",6,,,,,,,
"Apr 28, 2018",7,,,,,,,
"Apr 29, 2018",7,,,,,,,
"Apr 30, 2018",7,,,,,,,
"May 01, 2018",8,,,,,,,
"May 02, 2018",8,,,,,,,
"May 03, 2018",8,,,,,,,
"May 04, 2018",8,,,,,,,
"May 05, 2018",8,,,,,,,
"May 06, 2018",8,,,,,,,
"May 07, 2018",8,,,,,,,
"May 08, 2018",8,,,,,,,
"May 09, 2018",8,,,,,,,
"May 10, 2018",8,,,,,,,
"May 11, 2018",8,,,,,,,
"May 12, 2018",8,,,,,,,
"May 13, 2018",8,,,,,,,
"May 14, 2018",8,,,,,,,
"May 15, 2018",8,,,,,,,
"May 16, 2018",8,,,,,,,
"May 17, 2018",8,,,,,,,
"May 18, 2018",8,,,,,,,
"May 19, 2018",8,,,,,,,
"May 20, 2018",8,,,,,,,
"May 21, 2018",8,,,,,,,
"May 22, 2018",8,,,,,,,
"May 23, 2018",8,,,,,,,
"May 24, 2018",8,,,,,,,
"May 25, 2018",8,,,,,,,
"May 26, 2018",8,,,,,,,
"May 27, 2018",8,,,,,,,
"May 28, 2018",8,,,,,,,
"May 29, 2018",8,,,,,,,
"May 30, 2018",8,,,,,,,
"May 31, 2018",8,,,,,,,
"Jun 01, 2018",8,,,,,,,
"Jun 02, 2018",8,,,,,,,
