Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Album,Track URL,Date Added,Days in List,Date Removed,Position,Peak Position,Total Tracks,Country,Followers,28-day Change,28-day Change Percent
"Drill 2023 🇬🇧🇺🇸🇮🇹 Best Of UK Drill, US Drill & Drill Italiana ",2348078,/playlist/spotify/2348078/about,0G265dgBHonBSYm27tZR1g,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/0G265dgBHonBSYm27tZR1g,AMP Records,8542147,/curator/spotify/8542147/about,GE To LDN,GE To LDN,https://app.chartmetric.com/track/64420023/about,"Oct 22, 2021",799 Days in List,"Dec 30, 2023",6,4,90,null,230105,1455,1%
Estate 2023 Hits 🍹 Tormentoni Estivi 🏖,1804917,/playlist/spotify/1804917/about,4aIGsZIu48XaR37Go2PCmZ,39marco93,https://open.spotify.com/user/39marco93/playlist/4aIGsZIu48XaR37Go2PCmZ,39marco93,233063,/curator/spotify/233063/about,FENOMENALE,FENOMENALE,https://app.chartmetric.com/track/83949140/about,"Aug 5, 2023",147 Days in List,"Dec 30, 2023",58,14,110,null,115990,-19,-0%
Urban Hits,19767893,/playlist/spotify/19767893/about,5hoFN8KKqcJQhWHVye7GKE,314c3wtrznozv76c6cr57qifplma,https://open.spotify.com/user/314c3wtrznozv76c6cr57qifplma/playlist/5hoFN8KKqcJQhWHVye7GKE,Sofia Santoro,24335978,/curator/spotify/24335978/about,Trap Benefit,CONC3TTO,https://app.chartmetric.com/track/32884007/about,"Nov 15, 2023",45 Days in List,"Dec 30, 2023",16,15,26,null,43706,2290,5%
Trap Italia 2023 💣,1859347,/playlist/spotify/1859347/about,2rZWNJtQiHPQVIaKEPJ23z,39marco93,https://open.spotify.com/user/39marco93/playlist/2rZWNJtQiHPQVIaKEPJ23z,39marco93,233063,/curator/spotify/233063/about,GLK,GLK,https://app.chartmetric.com/track/69398921/about,"Jan 15, 2022",714 Days in List,"Dec 30, 2023",59,20,80,null,37605,692,2%
Trap Italia 2023 💣,1859347,/playlist/spotify/1859347/about,2rZWNJtQiHPQVIaKEPJ23z,39marco93,https://open.spotify.com/user/39marco93/playlist/2rZWNJtQiHPQVIaKEPJ23z,39marco93,233063,/curator/spotify/233063/about,Tokyo Drift,Tokyo Drift,https://app.chartmetric.com/track/103618129/about,"Jun 3, 2023",210 Days in List,"Dec 30, 2023",29,11,80,null,37605,692,2%
Trap Italia 2023 💣,1859347,/playlist/spotify/1859347/about,2rZWNJtQiHPQVIaKEPJ23z,39marco93,https://open.spotify.com/user/39marco93/playlist/2rZWNJtQiHPQVIaKEPJ23z,39marco93,233063,/curator/spotify/233063/about,GE To LDN,GE To LDN,https://app.chartmetric.com/track/64420023/about,"Oct 26, 2021",795 Days in List,"Dec 30, 2023",64,17,80,null,37605,692,2%
Top Italia 🇮🇹 Pop Italiano 2023,2348079,/playlist/spotify/2348079/about,065NSxcopkTPYnSSDaLYif,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/065NSxcopkTPYnSSDaLYif,AMP Records,8542147,/curator/spotify/8542147/about,Con Te,Con Te,https://app.chartmetric.com/track/73639790/about,"Feb 18, 2022",680 Days in List,"Dec 30, 2023",6,4,49,null,36536,0,
Top Italia 🇮🇹 Pop Italiano 2023,2348079,/playlist/spotify/2348079/about,065NSxcopkTPYnSSDaLYif,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/065NSxcopkTPYnSSDaLYif,AMP Records,8542147,/curator/spotify/8542147/about,FENOMENALE,FENOMENALE,https://app.chartmetric.com/track/83949140/about,"Jun 23, 2022",555 Days in List,"Dec 30, 2023",21,4,49,null,36536,0,
Top Italia 🇮🇹 Pop Italiano 2023,2348079,/playlist/spotify/2348079/about,065NSxcopkTPYnSSDaLYif,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/065NSxcopkTPYnSSDaLYif,AMP Records,8542147,/curator/spotify/8542147/about,Sarai Mai,Sarai Mai,https://app.chartmetric.com/track/24326968/about,"Jan 19, 2021",1075 Days in List,"Dec 30, 2023",33,4,49,null,36536,0,
Top Italia 🇮🇹 Pop Italiano 2023,2348079,/playlist/spotify/2348079/about,065NSxcopkTPYnSSDaLYif,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/065NSxcopkTPYnSSDaLYif,AMP Records,8542147,/curator/spotify/8542147/about,Flashback,Flashback,https://app.chartmetric.com/track/94833549/about,"Oct 28, 2022",428 Days in List,"Dec 30, 2023",42,39,49,null,36536,0,
